id,room_id/id,noted_date,temp,out/in,minute
__export__.temp_log_187872_2cac1d02,Room Admin,2018-12-06 06:44:00,41,Out,2018-12-06 06:44:00
__export__.temp_log_187867_06667226,Room Admin,2018-12-06 06:42:00,41,Out,2018-12-06 06:42:00
__export__.temp_log_187868_f2190c88,Room Admin,2018-12-06 06:42:00,41,Out,2018-12-06 06:42:00
__export__.temp_log_187854_a465197f,Room Admin,2018-12-06 06:38:00,41,Out,2018-12-06 06:38:00
__export__.temp_log_187853_12e94d46,Room Admin,2018-12-06 06:38:00,41,Out,2018-12-06 06:38:00
__export__.temp_log_185446_4d587995,Room Admin,2018-12-05 13:39:00,41,Out,2018-12-05 13:39:00
__export__.temp_log_185447_383e1391,Room Admin,2018-12-05 13:39:00,41,Out,2018-12-05 13:39:00
__export__.temp_log_185421_90f46d6d,Room Admin,2018-12-05 13:35:00,41,Out,2018-12-05 13:35:00
__export__.temp_log_185422_51df64af,Room Admin,2018-12-05 13:35:00,41,Out,2018-12-05 13:35:00
__export__.temp_log_185392_4eafcc03,Room Admin,2018-12-05 13:31:00,41,Out,2018-12-05 13:31:00
__export__.temp_log_185393_aa1ac087,Room Admin,2018-12-05 13:31:00,41,Out,2018-12-05 13:31:00
__export__.temp_log_185377_e1e8577b,Room Admin,2018-12-05 13:27:00,41,Out,2018-12-05 13:27:00
__export__.temp_log_185378_5c194c44,Room Admin,2018-12-05 13:27:00,41,Out,2018-12-05 13:27:00
__export__.temp_log_185312_5cb6338c,Room Admin,2018-12-05 13:11:00,41,Out,2018-12-05 13:11:00
__export__.temp_log_185313_1db01a55,Room Admin,2018-12-05 13:11:00,41,Out,2018-12-05 13:11:00
__export__.temp_log_185290_cd7b6c88,Room Admin,2018-12-05 13:05:00,41,Out,2018-12-05 13:05:00
__export__.temp_log_185289_c0a3e994,Room Admin,2018-12-05 13:05:00,41,Out,2018-12-05 13:05:00
__export__.temp_log_185246_112e7db2,Room Admin,2018-12-05 12:53:00,41,Out,2018-12-05 12:53:00
__export__.temp_log_185245_739801d4,Room Admin,2018-12-05 12:53:00,41,Out,2018-12-05 12:53:00
__export__.temp_log_185700_51bfcbc9,Room Admin,2018-12-05 12:51:00,41,Out,2018-12-05 12:51:00
__export__.temp_log_185241_6c3a681d,Room Admin,2018-12-05 12:51:00,41,Out,2018-12-05 12:51:00
__export__.temp_log_185191_201fa5b5,Room Admin,2018-12-05 12:39:00,41,Out,2018-12-05 12:39:00
__export__.temp_log_185190_a4afd1ff,Room Admin,2018-12-05 12:39:00,41,Out,2018-12-05 12:39:00
__export__.temp_log_185470_c8f408aa,Room Admin,2018-12-05 12:25:00,41,Out,2018-12-05 12:25:00
__export__.temp_log_185139_5fc62c04,Room Admin,2018-12-05 12:25:00,41,Out,2018-12-05 12:25:00
__export__.temp_log_185262_e3449b09,Room Admin,2018-12-05 12:23:00,41,Out,2018-12-05 12:23:00
__export__.temp_log_185128_8178a042,Room Admin,2018-12-05 12:23:00,41,Out,2018-12-05 12:23:00
__export__.temp_log_185111_bbbcd987,Room Admin,2018-12-05 12:21:00,42,Out,2018-12-05 12:21:00
__export__.temp_log_185112_519d39d2,Room Admin,2018-12-05 12:21:00,42,Out,2018-12-05 12:21:00
__export__.temp_log_185104_525fe662,Room Admin,2018-12-05 12:19:00,41,Out,2018-12-05 12:19:00
__export__.temp_log_185584_c7827342,Room Admin,2018-12-05 12:19:00,41,Out,2018-12-05 12:19:00
__export__.temp_log_185099_13c050db,Room Admin,2018-12-05 12:17:00,41,Out,2018-12-05 12:17:00
__export__.temp_log_185098_ca93dac0,Room Admin,2018-12-05 12:17:00,41,Out,2018-12-05 12:17:00
__export__.temp_log_185510_fe466742,Room Admin,2018-12-05 12:15:00,42,Out,2018-12-05 12:15:00
__export__.temp_log_185091_679cf6d7,Room Admin,2018-12-05 12:15:00,42,Out,2018-12-05 12:15:00
__export__.temp_log_185080_9ba46ac4,Room Admin,2018-12-05 12:13:00,41,Out,2018-12-05 12:13:00
__export__.temp_log_185078_ea9c015b,Room Admin,2018-12-05 12:13:00,41,Out,2018-12-05 12:13:00
__export__.temp_log_185206_5cff1284,Room Admin,2018-12-05 12:05:00,42,Out,2018-12-05 12:05:00
__export__.temp_log_185042_6493055e,Room Admin,2018-12-05 12:05:00,42,Out,2018-12-05 12:05:00
__export__.temp_log_184998_e31ae146,Room Admin,2018-12-05 11:53:00,42,Out,2018-12-05 11:53:00
__export__.temp_log_184997_364d5eec,Room Admin,2018-12-05 11:53:00,42,Out,2018-12-05 11:53:00
__export__.temp_log_184995_6bb89536,Room Admin,2018-12-05 11:51:00,41,Out,2018-12-05 11:51:00
__export__.temp_log_184992_8e874f50,Room Admin,2018-12-05 11:51:00,41,Out,2018-12-05 11:51:00
__export__.temp_log_184975_76cf91c2,Room Admin,2018-12-05 11:43:00,42,Out,2018-12-05 11:43:00
__export__.temp_log_184974_3cc858b2,Room Admin,2018-12-05 11:43:00,42,Out,2018-12-05 11:43:00
__export__.temp_log_184972_a7bfcf63,Room Admin,2018-12-05 11:41:00,42,Out,2018-12-05 11:41:00
__export__.temp_log_184971_c691e941,Room Admin,2018-12-05 11:41:00,42,Out,2018-12-05 11:41:00
__export__.temp_log_184968_4165c542,Room Admin,2018-12-05 11:39:00,42,Out,2018-12-05 11:39:00
__export__.temp_log_184969_b2225763,Room Admin,2018-12-05 11:39:00,42,Out,2018-12-05 11:39:00
__export__.temp_log_184960_66947c23,Room Admin,2018-12-05 11:37:00,41,Out,2018-12-05 11:37:00
__export__.temp_log_185332_5d787519,Room Admin,2018-12-05 11:37:00,41,Out,2018-12-05 11:37:00
__export__.temp_log_184811_d8748e5f,Room Admin,2018-12-05 10:36:00,43,Out,2018-12-05 10:36:00
__export__.temp_log_185094_69acf4d5,Room Admin,2018-12-05 10:35:00,43,Out,2018-12-05 10:35:00
__export__.temp_log_185148_e06b31c0,Room Admin,2018-12-05 10:25:00,42,Out,2018-12-05 10:25:00
__export__.temp_log_184766_372cbe1b,Room Admin,2018-12-05 10:25:00,42,Out,2018-12-05 10:25:00
__export__.temp_log_184726_9cee84aa,Room Admin,2018-12-05 10:17:00,41,Out,2018-12-05 10:17:00
__export__.temp_log_184720_2e7c3823,Room Admin,2018-12-05 10:16:00,41,Out,2018-12-05 10:16:00
__export__.temp_log_184718_02201a4d,Room Admin,2018-12-05 10:15:00,41,Out,2018-12-05 10:15:00
__export__.temp_log_184875_16c7e771,Room Admin,2018-12-05 10:13:00,41,Out,2018-12-05 10:13:00
__export__.temp_log_184819_94a2d875,Room Admin,2018-12-05 10:13:00,41,Out,2018-12-05 10:13:00
__export__.temp_log_185445_c5c3418e,Room Admin,2018-12-05 10:11:00,41,Out,2018-12-05 10:11:00
__export__.temp_log_185527_f7518c24,Room Admin,2018-12-05 10:02:00,42,Out,2018-12-05 10:02:00
__export__.temp_log_184869_3d7ca486,Room Admin,2018-12-05 10:01:00,42,Out,2018-12-05 10:01:00
__export__.temp_log_184664_fa944649,Room Admin,2018-12-05 10:00:00,41,Out,2018-12-05 10:00:00
__export__.temp_log_184668_cf30291f,Room Admin,2018-12-05 09:59:00,41,Out,2018-12-05 09:59:00
__export__.temp_log_184507_08b26e46,Room Admin,2018-12-05 09:43:00,42,Out,2018-12-05 09:43:00
__export__.temp_log_184519_9691803a,Room Admin,2018-12-05 09:43:00,42,Out,2018-12-05 09:43:00
__export__.temp_log_185522_785751ab,Room Admin,2018-12-05 09:35:00,41,Out,2018-12-05 09:35:00
__export__.temp_log_184466_a3d1f8f6,Room Admin,2018-12-05 09:35:00,41,Out,2018-12-05 09:35:00
__export__.temp_log_184212_503e3d0e,Room Admin,2018-12-05 09:25:00,41,Out,2018-12-05 09:25:00
__export__.temp_log_184213_0b6d5ed5,Room Admin,2018-12-05 09:25:00,41,Out,2018-12-05 09:25:00
__export__.temp_log_184211_79d96fe8,Room Admin,2018-12-05 09:23:00,42,Out,2018-12-05 09:23:00
__export__.temp_log_184210_65cff214,Room Admin,2018-12-05 09:23:00,42,Out,2018-12-05 09:23:00
__export__.temp_log_184209_207bc49e,Room Admin,2018-12-05 09:22:00,41,Out,2018-12-05 09:22:00
